team_id,player_id,game_pk,batting_order,plate_appearances,total_bases,caught_stealing,stolen_bases,stolen_base_percentage,pickoffs,summary,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run
141,662139,746319,5,4,4,0,0,.---,0,"1-3 | HR, BB, 2 K",0,0,0,1,0,0,1,2,1,0,1,0,3,0,0,2,1,0,0,0,3
141,676914,746319,6,4,0,0,0,.---,0,0-4 | K,1,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,-.--
141,643376,746319,7,4,2,0,0,.---,0,1-4 | 2B,0,2,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,-.--
141,643396,746319,8,4,1,0,0,.---,0,"1-3 | BB, K, R",1,0,1,1,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,0,-.--
141,624415,746319,9,4,2,0,0,.---,0,"1-4 | 2B, 2 K, R",0,1,0,1,1,0,0,2,0,0,1,0,4,0,0,0,2,0,0,0,-.--
118,672580,746319,1,4,4,0,0,.---,0,"1-4 | HR, 2 RBI, R",2,1,2,1,0,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,4
118,677951,746319,2,4,1,0,0,.---,0,1-4 | 2 K,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,-.--
118,686469,746319,3,4,1,0,0,.---,0,1-4 | 2 K,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,1,0,0,0,-.--
118,521692,746319,4,4,3,0,0,.---,0,2-4 | 2B,1,1,1,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,-.--
118,676369,746319,5,4,0,0,0,.---,0,0-4 | K,1,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,-.--
118,592669,746319,6,2,0,0,0,.---,0,0-2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-.--
118,641658,746319,7,2,0,0,0,.---,0,0-2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,-.--
118,686681,746319,8,4,0,0,0,.---,0,0-4,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,-.--
118,680118,746319,9,3,2,0,0,.---,0,"1-3 | 2B, K, R",0,0,1,1,1,0,0,1,0,0,1,0,3,0,0,0,1,0,0,0,-.--
145,670032,745916,1,4,2,0,0,.---,0,2-4 | K,1,0,1,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,-.--
